Normal, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0
Protanopia, 0.56667, 0.43333, 0.0, 0.55833, 0.44167, 0.0, 0.0, 0.24167, 0.75833
Protanomaly, 0.81667, 0.18333, 0.0, 0.33333, 0.66667, 0.0, 0.0, 0.125, 0.875
Deuteranopia, 0.625, 0.375, 0.0, 0.7, 0.3, 0.0, 0.0, 0.3, 0.7
Deuteranomaly, 0.8, 0.2, 0.0, 0.25833, 0.74167, 0.0, 0.0, 0.14167, 0.85833
Tritanopia, 0.95, 0.05, 0.0, 0.0, 0.43333, 0.56667, 0.0, 0.475, 0.525
Tritanomaly, 0.96667, 0.03333, 0.0, 0.0, 0.73333, 0.26667, 0.0, 0.18333, 0.81667
Achromatopsia, 0.299, 0.587, 0.114, 0.299, 0.587, 0.114, 0.299, 0.587, 0.114
Achromatomaly, 0.618, 0.32, 0.062, 0.163, 0.775, 0.062, 0.163, 0.32, 0.516
